10/08/2025 01:20:13 PM Created element: name=Panel 1, Element 1, area=0.0006900000000000001, x_loc=0, bot = 0, ornt = 0, y_loc=0.0, sigma_yield=245, E=71000
10/08/2025 01:20:13 PM Created element: name=Panel 1, Element 2, area=0.0006900000000000001, x_loc=0, bot = 0, ornt = 0, y_loc=0.0, sigma_yield=245, E=71000
10/08/2025 01:20:13 PM Created element: name=Panel 1, Element 3, area=0.0006900000000000001, x_loc=0, bot = 0, ornt = 0, y_loc=0.0, sigma_yield=245, E=71000
10/08/2025 01:20:13 PM Created element: name=Panel 1, first element, area=0.00027, x_loc=0, bot = 0, ornt = 0, y_loc=0.0, sigma_yield=245, E=71000
10/08/2025 01:20:13 PM Created element: name=Panel 1, last element, area=0.00027, x_loc=0, bot = 0, ornt = 0, y_loc=0.0, sigma_yield=245, E=71000
10/08/2025 01:20:13 PM Created element: name=Panel 2, Element 1, area=0.0006900000000000001, x_loc=0, bot = 0, ornt = -90, y_loc=0.18, sigma_yield=245, E=71000
10/08/2025 01:20:13 PM Created element: name=Panel 2, Element 2, area=0.0006900000000000001, x_loc=0, bot = 0, ornt = -90, y_loc=0.36, sigma_yield=245, E=71000
10/08/2025 01:20:13 PM Created element: name=Panel 2, Element 3, area=0.0006900000000000001, x_loc=0, bot = 0, ornt = -90, y_loc=0.54, sigma_yield=245, E=71000
10/08/2025 01:20:13 PM Created element: name=Panel 2, first element, area=0.00027, x_loc=0, bot = 0, ornt = -90, y_loc=0.045, sigma_yield=245, E=71000
10/08/2025 01:20:13 PM Created element: name=Panel 2, last element, area=0.00027, x_loc=0, bot = 0, ornt = -90, y_loc=0.675, sigma_yield=245, E=71000
10/08/2025 01:20:13 PM Created element: name=Panel 3, Element 1, area=0.0006900000000000001, x_loc=0, bot = 0.6669999999999999, ornt = -180, y_loc=0.6669999999999999, sigma_yield=245, E=71000
10/08/2025 01:20:13 PM Created element: name=Panel 3, Element 2, area=0.0006900000000000001, x_loc=0, bot = 0.6669999999999999, ornt = -180, y_loc=0.6669999999999999, sigma_yield=245, E=71000
10/08/2025 01:20:13 PM Created element: name=Panel 3, Element 3, area=0.0006900000000000001, x_loc=0, bot = 0.6669999999999999, ornt = -180, y_loc=0.667, sigma_yield=245, E=71000
10/08/2025 01:20:13 PM Created element: name=Panel 3, first element, area=0.00027, x_loc=0, bot = 0.6669999999999999, ornt = -180, y_loc=0.6669999999999999, sigma_yield=245, E=71000
10/08/2025 01:20:13 PM Created element: name=Panel 3, last element, area=0.00027, x_loc=0, bot = 0.6669999999999999, ornt = -180, y_loc=0.667, sigma_yield=245, E=71000
10/08/2025 01:20:13 PM Created element: name=Panel 4, Element 1, area=0.0006900000000000001, x_loc=0, bot = 0.0, ornt = 90, y_loc=0.18, sigma_yield=245, E=71000
10/08/2025 01:20:13 PM Created element: name=Panel 4, Element 2, area=0.0006900000000000001, x_loc=0, bot = 0.0, ornt = 90, y_loc=0.36, sigma_yield=245, E=71000
10/08/2025 01:20:13 PM Created element: name=Panel 4, Element 3, area=0.0006900000000000001, x_loc=0, bot = 0.0, ornt = 90, y_loc=0.54, sigma_yield=245, E=71000
10/08/2025 01:20:13 PM Created element: name=Panel 4, first element, area=0.00027, x_loc=0, bot = 0.0, ornt = 90, y_loc=0.045, sigma_yield=245, E=71000
10/08/2025 01:20:13 PM Created element: name=Panel 4, last element, area=0.00027, x_loc=0, bot = 0.0, ornt = 90, y_loc=0.675, sigma_yield=245, E=71000
